id,mag,ra,dec
1438,12.44,03:45:17.23,-23:00:08.9
1439,11.39,03:44:49.95,-21:55:14.0
1440,11.63,03:45:02.91,-18:15:57.7
1441,12.93,03:45:43.12,-04:05:29.7
1444,6.60,03:49:28.88,+52:39:19.2
1446,13.50,03:45:57.46,-04:06:43.8
1448,10.94,03:44:31.92,-44:38:41.4
1449,13.47,03:46:03.07,-04:08:17.2
1451,13.34,03:46:07.16,-04:04:09.1
1452,11.84,03:45:22.31,-18:38:01.1
1453,11.41,03:46:27.25,-03:58:07.6
1456,10.96,03:48:08.25,+22:33:31.0
1461,11.81,03:48:27.14,-16:23:34.4
1463,13.47,03:46:15.42,-59:48:36.5
1466,11.59,03:44:33.35,-71:40:17.7
1473,12.91,03:47:26.30,-68:13:14.1
1474,13.76,03:54:30.35,+10:42:25.2
1476,13.82,03:52:08.79,-44:31:56.9
1482,12.14,03:54:38.96,-20:30:09.6
1483,12.76,03:52:47.64,-47:28:39.1
1485,12.37,04:05:03.94,+70:59:47.5
1487,11.68,03:55:47.17,-42:22:06.9
1489,13.80,03:57:38.10,-19:12:59.9
1493,11.44,03:57:27.43,-46:12:38.5
1494,11.95,03:57:42.90,-48:54:29.1
1495,12.64,03:58:21.82,-44:27:58.5
1496,9.60,04:04:31.89,+52:39:41.0
1500,14.84,03:58:13.97,-52:19:41.4
1501,11.50,04:06:59.37,+60:55:14.5
1502,6.90,04:07:49.30,+62:19:53.5
1506,13.22,04:00:21.57,-52:34:25.4
1507,12.41,04:04:27.21,-02:11:18.9
1510,13.02,04:03:32.64,-43:24:00.4
1511,11.30,03:59:36.98,-67:38:03.3
1512,10.37,04:03:54.28,-43:20:55.9
1513,8.40,04:09:54.70,+49:31:02.2
1514,10.19,04:09:16.95,+30:46:33.3
1515,10.99,04:04:02.72,-54:06:00.2
1518,11.79,04:06:49.72,-21:10:21.5
1519,12.96,04:08:07.60,-17:11:34.4
1521,11.57,04:08:18.93,-21:03:07.1
1522,13.60,04:06:07.92,-52:40:06.3
1527,10.80,04:08:24.14,-47:53:49.3
1528,6.40,04:15:18.87,+51:12:41.3
1530,11.70,04:23:27.10,+75:17:44.1
1530,12.43,04:44:28.50,+75:38:23.1
1531,12.13,04:11:59.32,-32:51:02.9
1532,10.13,04:12:04.33,-32:52:27.2
1533,10.65,04:09:51.84,-56:07:06.4
1535,9.60,04:14:15.77,-12:44:21.8
1536,12.90,04:10:59.86,-56:28:49.6
1537,10.72,04:13:40.71,-31:38:43.5
1541,13.53,04:17:00.23,+00:50:06.7
1542,13.89,04:17:14.18,+04:46:53.9
1543,10.17,04:12:43.25,-57:44:16.7
1545,6.20,04:20:56.26,+50:15:19.2
1546,11.35,04:14:36.54,-56:03:38.9
1549,9.75,04:15:45.13,-55:35:32.1
1550,12.08,04:19:37.93,+02:24:34.1
1553,9.31,04:16:10.47,-55:46:48.5
1556,13.06,04:17:44.83,-50:09:52.0
1559,10.60,04:17:35.77,-62:47:01.2
1560,11.50,04:32:49.09,+71:52:59.2
1566,9.73,04:20:00.42,-54:56:16.1
1569,11.11,04:30:49.06,+64:50:52.6
1570,14.00,04:22:08.94,-43:37:46.4
1572,12.47,04:22:42.81,-40:36:03.3
1573,11.79,04:35:03.99,+73:15:44.7
1574,10.24,04:21:58.82,-56:58:29.1
1578,13.11,04:23:46.65,-51:35:58.0
1581,12.80,04:24:44.96,-54:56:31.2
1582,7.00,04:31:46.79,+43:47:05.4
1587,11.70,04:30:39.94,+00:39:41.7
1588,12.91,04:30:43.77,+00:39:53.0
1589,11.81,04:30:45.44,+00:51:49.2
1590,13.69,04:31:10.22,+07:37:51.2
1592,14.09,04:29:40.13,-27:24:30.7
1595,12.71,04:28:21.76,-47:48:57.2
1596,11.14,04:27:38.11,-55:01:40.1
1598,13.30,04:28:33.67,-47:46:57.2
1599,13.73,04:31:38.74,-04:35:18.0
1600,10.97,04:31:39.94,-05:05:10.5
1601,13.84,04:31:41.73,-05:03:37.3
1602,13.06,04:27:54.97,-55:03:27.8
1603,13.80,04:31:49.95,-05:05:39.9
1605,10.70,04:34:52.28,+45:16:17.0
1614,12.90,04:33:59.85,-08:34:44.0
1616,12.64,04:32:41.73,-43:42:57.2
1617,10.37,04:31:39.53,-54:36:08.2
1618,12.72,04:36:06.60,-03:08:55.5
1620,12.08,04:36:37.35,-00:08:37.0
1622,12.53,04:36:36.64,-03:11:19.8
1624,11.80,04:40:36.50,+50:27:42.0
1625,12.40,04:37:06.26,-03:18:12.6
1629,12.68,04:29:36.91,-71:50:17.8
1637,10.85,04:41:28.18,-02:51:28.7
1638,12.24,04:41:36.51,-01:48:32.5
1640,11.69,04:42:14.52,-20:26:05.2
1642,12.62,04:42:54.91,+00:37:06.9
1644,12.89,04:37:40.09,-66:11:56.7
1647,6.40,04:45:55.57,+19:05:42.4
1649,13.13,04:38:22.85,-68:40:22.5
1651,12.28,04:37:32.27,-70:35:09.1
1653,11.97,04:45:47.35,-02:23:34.2
1659,12.54,04:46:29.95,-04:47:19.6
1662,6.40,04:48:28.95,+10:55:49.4
1663,14.54,04:49:23.54,+13:09:03.8
1664,7.60,04:51:05.43,+43:40:34.2
1666,12.70,04:48:32.84,-06:34:11.9
1667,12.15,04:48:37.14,-06:19:11.9
1671,12.88,04:49:34.03,+00:15:10.3
1672,10.16,04:45:42.50,-59:14:49.9
1673,14.07,04:42:39.64,-69:49:16.5
1679,11.62,04:49:54.64,-31:57:52.8
1681,13.40,04:51:50.06,-05:48:11.6
1685,15.18,04:52:34.23,-02:56:57.6
1688,11.85,04:48:23.79,-59:48:01.2
1692,13.02,04:55:23.73,-20:34:16.2
1693,12.89,04:47:38.77,-69:20:37.1
1695,12.16,04:47:44.48,-69:22:25.5
1696,13.95,04:48:29.97,-68:14:34.3
1697,12.62,04:48:35.81,-68:33:30.4
1698,12.07,04:49:05.05,-69:06:54.3
1700,11.16,04:56:56.31,-04:51:56.8
1702,12.50,04:49:27.68,-69:51:02.8
1703,11.69,04:52:52.15,-59:44:32.1
1704,11.50,04:49:55.46,-69:45:22.7
1705,12.46,04:54:13.50,-53:21:39.8
1706,12.64,04:52:31.02,-62:59:08.8
1711,11.10,04:50:36.13,-69:59:07.6
1713,12.71,04:58:54.61,-00:29:20.1
1714,11.61,04:52:08.85,-66:55:24.2
1718,12.25,04:52:25.39,-67:03:02.4
1723,12.03,04:59:25.89,-10:58:50.5
1726,11.65,04:59:41.90,-07:45:18.9
1732,12.30,04:53:10.59,-68:39:00.0
1733,13.31,04:54:04.75,-66:40:57.3
1734,13.10,04:53:33.49,-68:46:07.6
1735,10.76,04:54:19.66,-67:05:58.4
1743,11.26,04:54:02.67,-69:11:55.0
1744,11.50,04:59:57.80,-26:01:20.0
1745,13.40,04:54:20.62,-69:09:32.0
1746,6.10,05:03:50.19,+23:46:03.5
1747,9.37,04:55:10.98,-67:10:08.0
1748,12.30,04:54:25.97,-69:11:02.8
1749,13.56,04:54:56.06,-68:11:19.2
1751,11.73,04:54:12.58,-69:48:21.0
1752,12.40,05:02:09.49,-08:14:27.1
1754,11.57,04:54:18.95,-70:26:32.9
1755,9.85,04:55:14.87,-68:12:14.6
1756,12.24,04:54:49.83,-69:14:15.5
1761,9.94,04:56:37.73,-66:28:43.9
1762,12.60,05:03:37.03,+01:34:24.0
1763,9.40,04:56:49.19,-66:24:32.7
1764,12.58,04:56:27.72,-67:41:37.5
1766,12.22,04:55:57.60,-70:13:30.2
1767,10.61,04:56:27.30,-69:24:02.0
1768,12.79,04:57:00.16,-68:14:58.0
1771,13.43,04:58:55.72,-63:17:53.6
1772,10.97,04:56:52.79,-69:33:21.8
1774,10.76,04:58:06.88,-67:14:32.4
1775,12.55,04:56:54.78,-70:25:55.2
1776,13.01,04:58:39.72,-66:25:46.5
1777,12.80,04:55:47.66,-74:17:07.3
1778,7.70,05:08:05.70,+37:01:22.2
1779,12.10,05:05:18.07,-09:08:49.7
1782,10.50,04:57:51.09,-69:23:31.9
1783,10.93,04:59:08.81,-65:59:14.2
1784,11.60,05:05:27.10,-11:52:17.5
1787,10.92,05:01:44.41,-65:49:23.9
1789,13.06,04:57:51.68,-71:54:07.1
1791,13.12,04:59:06.48,-70:10:07.5
1792,10.16,05:05:14.45,-37:58:50.7
1793,12.41,04:59:38.21,-69:33:27.5
1795,12.42,04:59:46.90,-69:48:04.2
1796,12.43,05:02:42.55,-61:08:24.2
1800,12.58,05:06:25.72,-31:57:15.2
1801,12.16,05:00:34.51,-69:36:49.5
1803,12.86,05:05:26.58,-49:34:04.6
1804,11.87,05:01:03.26,-69:04:57.3
1807,7.00,05:10:45.03,+16:30:45.9
1808,10.21,05:07:42.34,-37:30:47.0
1809,12.34,05:02:05.01,-69:34:05.8
1810,11.90,05:03:23.27,-66:22:54.5
1813,12.76,05:02:40.28,-70:19:04.6
1814,12.76,05:03:46.46,-67:18:02.4
1815,12.41,05:02:27.25,-70:37:15.8
1816,13.02,05:03:50.75,-67:15:38.7
1817,7.70,05:12:26.27,+16:41:02.7
1820,11.50,05:04:01.68,-67:15:57.4
1822,13.15,05:05:09.20,-66:12:38.0
1823,12.09,05:03:24.96,-70:20:07.8
1824,12.57,05:06:56.20,-59:43:26.3
1825,12.04,05:04:19.04,-68:55:35.1
1826,13.25,05:05:33.29,-66:13:47.1
1828,12.52,05:04:20.88,-69:23:17.4
1830,12.56,05:04:38.27,-69:20:24.6
1831,11.18,05:06:16.72,-64:55:03.0
1832,11.54,05:12:03.33,-15:41:16.1
1835,10.60,05:05:06.58,-69:24:13.9
1836,12.22,05:05:34.42,-68:37:40.4
1837,12.27,05:04:55.80,-70:42:50.4
1838,12.93,05:06:07.88,-68:26:42.7
1839,11.80,05:06:02.35,-68:37:36.4
1841,11.43,04:45:23.35,-83:59:56.6
1842,14.02,05:07:18.10,-67:16:23.4
1844,12.08,05:07:30.68,-67:19:24.3
1845,10.20,05:05:45.01,-70:34:53.8
1846,11.31,05:07:33.94,-67:27:41.3
1847,12.47,05:07:08.16,-68:58:17.2
1848,9.73,05:07:27.16,-71:11:43.3
1849,12.77,05:09:34.81,-66:18:56.9
1850,8.96,05:08:44.73,-68:45:42.0
1851,7.23,05:14:06.73,-40:02:47.8
1852,12.01,05:09:23.79,-67:46:34.5
1854,10.39,05:09:19.89,-68:50:50.5
1856,10.06,05:09:29.37,-69:07:39.3
1857,7.00,05:20:05.56,+39:20:37.0
1858,9.88,05:09:51.94,-68:53:28.5
1859,12.26,05:11:31.79,-65:14:59.0
1860,11.04,05:10:39.51,-68:45:08.1
1861,13.16,05:10:22.14,-70:46:37.6
1862,13.33,05:12:34.54,-66:09:15.7
1864,12.86,05:12:40.60,-67:37:16.5
1865,12.91,05:12:25.08,-68:46:15.7
1866,9.73,05:13:39.10,-65:27:56.1
1867,13.35,05:13:42.26,-66:17:31.0
1868,11.57,05:14:36.30,-63:57:16.2
1870,11.26,05:13:09.90,-69:07:01.0
1871,10.09,05:13:51.76,-67:27:09.5
1872,11.04,05:13:10.77,-69:18:41.7
1873,10.44,05:13:55.67,-67:20:03.7
1874,12.81,05:13:11.66,-69:22:34.4
1876,11.71,05:13:18.63,-69:21:43.7
1878,12.94,05:12:50.91,-70:28:18.1
1879,12.79,05:19:48.23,-32:08:33.9
1880,12.81,05:13:25.18,-69:22:46.0
1882,12.33,05:15:33.33,-66:07:46.4
1883,12.00,05:25:54.20,+46:29:24.5
1885,11.97,05:15:05.86,-68:58:39.2
1887,12.72,05:16:05.93,-66:19:06.8
1888,11.92,05:22:34.45,-11:29:58.3
1890,12.81,05:13:45.83,-72:04:40.7
1892,12.29,05:17:09.05,-64:57:35.1
1893,7.50,05:22:44.14,+33:24:43.3
1894,12.16,05:15:51.27,-69:28:06.7
1895,12.93,05:16:51.59,-67:19:46.5
1897,13.49,05:17:31.28,-67:27:03.6
1898,11.86,05:16:42.38,-69:39:22.4
1900,13.59,05:19:09.38,-63:01:25.3
1902,11.77,05:18:19.14,-66:37:38.7
1903,11.86,05:17:22.30,-69:20:07.1
1904,8.16,05:24:10.59,-24:31:27.2
1905,13.21,05:18:23.71,-67:16:41.4
1907,8.20,05:28:04.55,+35:19:32.4
1910,9.65,05:18:43.07,-69:13:54.9
1912,6.40,05:28:42.49,+35:51:17.7
1913,11.14,05:18:19.29,-69:32:11.3
1914,12.01,05:17:39.76,-71:15:21.1
1916,10.38,05:18:36.47,-69:24:24.5
1917,12.33,05:19:01.97,-68:59:56.3
1920,12.54,05:20:33.50,-66:46:43.4
1921,12.95,05:19:22.75,-69:47:15.9
1922,11.51,05:19:48.92,-69:26:53.7
1923,11.24,05:21:34.06,-65:29:12.2
1924,12.53,05:28:01.93,-05:18:38.7
1926,11.79,05:20:35.43,-69:31:31.0
1928,12.47,05:20:56.50,-69:28:40.6
1930,12.37,05:25:56.80,-46:43:42.5
1931,10.10,05:31:25.35,+34:14:47.6
1932,13.80,05:22:17.24,-66:09:15.6
1933,13.80,05:22:27.32,-66:09:07.8
1934,10.50,05:21:47.89,-67:56:13.8
1936,11.60,05:22:13.96,-67:58:41.9
1938,13.09,05:21:24.71,-69:56:21.8
1939,11.83,05:21:26.61,-69:56:59.1
1940,11.91,05:22:43.74,-67:11:11.6
1941,12.00,05:23:07.70,-66:22:43.1
1942,13.46,05:24:44.54,-63:56:31.6
1943,11.88,05:22:28.74,-70:09:17.5
1944,11.84,05:21:57.43,-72:29:38.7
1946,12.62,05:25:16.38,-66:23:40.4
1947,10.47,05:26:47.61,-63:45:36.1
1948,10.61,05:25:46.24,-66:16:00.5
1949,12.39,05:25:04.83,-68:28:21.1
1950,13.17,05:24:32.99,-69:54:08.3
1951,10.58,05:26:06.82,-66:35:50.1
1952,8.40,05:34:31.97,+22:00:52.1
1953,11.74,05:25:27.81,-68:50:17.9
1954,12.04,05:32:48.33,-14:03:46.0
1955,8.87,05:26:09.96,-67:29:50.6
1958,12.99,05:25:30.52,-69:50:12.4
1959,12.17,05:25:36.63,-69:55:36.9
1960,6.00,05:36:17.74,+34:08:26.7
1961,11.54,05:42:04.65,+69:22:42.4
1962,11.47,05:26:17.73,-68:50:15.5
1964,10.91,05:33:21.76,-21:56:44.8
1965,11.70,05:26:31.26,-68:48:19.7
1966,11.83,05:26:45.84,-68:49:11.5
1967,10.81,05:26:43.31,-69:06:05.5
1968,8.22,05:27:22.11,-67:27:49.8
1969,12.46,05:26:32.36,-69:50:28.9
1970,10.28,05:26:52.67,-68:50:12.0
1971,11.90,05:26:45.24,-69:51:05.8
1972,12.62,05:26:47.36,-69:50:18.0
1974,10.30,05:27:59.02,-67:25:26.9
1976,4.00,05:35:16.48,-05:23:22.8
1978,10.70,05:28:45.13,-66:14:09.3
1980,2.50,05:35:25.99,-05:54:35.6
1981,4.20,05:35:09.59,-04:25:30.2
1982,9.00,05:35:31.38,-05:16:02.9
1984,9.99,05:27:40.91,-69:08:03.6
1986,11.07,05:27:38.08,-69:58:25.1
1990,1.69,05:36:12.82,-01:12:06.9
1997,13.43,05:30:34.70,-63:11:58.3
2000,12.14,05:27:29.24,-71:52:45.8
2002,10.84,05:30:20.70,-66:53:06.0
2003,11.30,05:30:55.20,-66:27:59.6
2005,11.57,05:30:10.85,-69:45:08.7
2006,10.88,05:31:21.00,-66:57:55.0
2008,14.00,05:35:03.81,-50:58:00.4
2009,11.02,05:30:59.16,-69:10:54.0
2010,11.72,05:30:34.93,-70:49:10.8
2011,10.58,05:32:20.21,-67:31:23.3
2012,12.97,05:22:35.35,-79:51:06.5
2014,8.97,05:32:19.87,-67:41:23.4
2015,10.43,05:32:06.49,-69:14:34.9
2018,10.89,05:31:24.89,-71:04:08.6
2019,10.86,05:31:56.66,-70:09:34.5
2021,12.06,05:33:30.67,-67:27:10.4
2022,11.60,05:42:06.21,+09:05:11.5
2025,10.94,05:32:33.64,-71:42:55.8
2027,10.97,05:34:59.71,-66:54:58.7
2028,12.88,05:33:48.57,-69:57:06.5
2029,12.29,05:35:40.66,-66:02:06.0
2030,12.29,05:34:59.74,-67:33:22.9
2031,10.83,05:33:41.82,-70:59:12.4
2033,11.63,05:34:30.70,-69:46:48.5
2035,10.99,05:35:31.20,-67:35:03.0
2036,12.77,05:34:31.39,-70:03:51.7
2037,10.31,05:35:00.63,-69:43:53.7
2038,11.92,05:34:42.27,-70:33:46.6
2040,11.47,05:36:05.93,-67:34:06.8
2041,10.36,05:36:28.05,-66:59:23.2
2042,9.58,05:36:09.58,-68:55:24.4
2044,10.59,05:36:06.18,-69:11:55.2
2045,6.46,05:45:01.30,+12:53:18.1
2046,12.64,05:35:37.53,-70:14:26.5
2047,13.15,05:35:52.99,-70:11:33.6
2048,12.17,05:35:55.59,-69:38:54.7
2050,9.25,05:36:38.82,-69:23:00.7
2051,11.69,05:36:07.34,-71:00:41.0
2053,12.18,05:37:39.70,-67:24:46.5
2055,8.39,05:36:44.73,-69:29:55.1
2056,11.77,05:36:33.97,-70:40:18.8
2057,12.17,05:36:55.14,-70:16:08.2
2058,11.85,05:36:54.22,-70:09:44.1
2059,12.85,05:37:00.55,-70:07:44.5
2060,9.59,05:37:46.90,-69:10:18.0
2062,12.67,05:40:02.70,-66:52:32.7
2065,11.24,05:37:38.42,-70:14:11.3
2066,13.10,05:37:43.12,-70:09:59.6
2068,8.00,05:46:45.82,+00:04:45.5
2069,10.10,05:38:46.44,-68:58:27.8
2070,7.25,05:38:42.36,-69:06:03.2
2072,13.21,05:38:24.39,-70:14:02.6
2075,11.47,05:38:21.35,-70:41:06.1
2076,12.93,05:46:47.46,-16:46:57.4
2077,11.71,05:39:36.02,-69:39:25.6
2078,10.89,05:39:39.45,-69:44:35.4
2079,11.81,05:39:37.60,-69:45:25.9
2080,10.42,05:39:45.82,-69:38:38.8
2082,12.19,05:41:51.12,-64:18:04.1
2083,10.83,05:39:59.22,-69:44:15.3
2085,12.06,05:40:09.83,-69:40:22.1
2086,12.00,05:40:12.88,-69:40:04.3
2088,12.47,05:40:59.81,-68:27:55.3
2090,10.92,05:47:01.89,-34:15:02.2
2091,12.07,05:40:58.04,-69:26:13.5
2093,11.57,05:41:49.74,-68:55:17.1
2094,12.80,05:42:08.85,-68:21:49.6
2095,13.09,05:42:36.16,-67:19:08.0
2096,11.31,05:42:17.80,-68:27:31.0
2097,13.67,05:44:16.02,-62:47:08.2
2098,10.73,05:42:31.03,-68:16:23.4
2099,5.60,05:52:18.35,+32:33:10.8
2101,13.27,05:46:24.17,-52:05:18.7
2102,11.44,05:42:20.49,-69:29:13.5
2103,10.82,05:41:40.35,-71:19:59.3
2104,12.73,05:47:04.73,-51:33:10.5
2105,12.19,05:44:19.18,-66:55:03.4
2107,11.51,05:43:12.88,-70:38:23.8
2108,12.32,05:43:56.87,-69:10:55.6
2109,12.21,05:44:22.92,-68:32:52.1
2110,13.51,05:52:11.38,-07:27:22.4
2111,12.45,05:44:32.99,-70:59:35.7
2112,9.10,05:53:45.21,+00:24:38.9
2114,12.48,05:46:12.11,-68:02:53.9
2116,12.92,05:47:15.16,-68:30:28.6
2117,11.65,05:47:45.92,-67:27:00.6
2118,13.38,05:47:39.57,-69:07:54.6
2120,12.67,05:50:34.61,-63:40:39.4
2121,12.37,05:48:12.84,-71:28:47.2
2122,10.43,05:48:52.51,-70:04:12.3
2123,12.56,05:51:43.32,-65:19:17.3
2127,11.64,05:51:21.28,-69:21:32.6
2129,6.70,06:01:06.54,+23:19:19.8
2130,12.10,05:52:23.72,-67:20:02.8
2135,12.05,05:53:35.43,-67:25:46.3
2136,10.70,05:52:57.75,-69:29:33.9
2137,12.66,05:53:13.15,-69:28:55.1
2138,13.76,05:54:50.18,-65:50:13.6
2139,11.66,06:01:07.81,-23:40:21.5
2140,12.44,05:54:16.18,-68:35:59.4
2141,9.40,06:02:55.06,+10:26:47.3
2142,4.94,06:01:50.43,-10:35:52.6
2145,12.07,05:54:23.06,-70:54:03.7
2146,10.69,06:18:37.71,+78:21:25.3
2146,12.89,06:23:55.20,+78:31:48.4
2147,12.94,05:55:45.60,-68:12:05.7
2150,13.03,05:55:46.34,-69:33:38.9
2153,13.05,05:57:51.72,-66:24:02.4
2154,11.79,05:57:37.49,-67:15:49.6
2155,12.60,05:58:33.21,-65:28:35.3
2156,11.38,05:57:49.68,-68:27:38.9
2157,10.16,05:57:34.78,-69:11:50.0
2158,8.60,06:07:25.61,+24:05:46.2
2159,11.38,05:58:03.88,-68:37:22.5
2160,12.16,05:58:12.84,-68:17:22.5
2161,12.95,05:55:43.06,-74:21:14.2
2162,12.70,06:00:30.17,-63:43:17.2
2164,10.34,05:58:56.26,-68:30:57.2
2166,12.86,05:59:34.14,-67:56:32.4
2167,6.58,06:06:58.56,-06:12:09.5
2168,5.10,06:09:05.06,+24:20:19.1
2169,5.90,06:08:24.35,+13:57:53.5
2172,11.75,06:00:05.84,-68:38:12.9
2173,11.88,05:57:58.88,-72:58:28.3
2175,6.80,06:09:39.55,+20:29:15.3
2177,12.83,06:01:16.49,-67:43:59.7
2179,12.35,06:08:02.22,-21:44:48.1
2181,13.64,06:02:43.66,-65:15:53.5
2186,8.70,06:12:07.13,+05:27:30.9
2188,11.67,06:10:09.53,-34:06:22.3
2190,12.94,06:01:01.79,-74:43:31.5
2191,12.30,06:08:23.87,-52:30:44.3
2192,10.90,06:15:17.43,+39:51:18.8
2193,13.42,06:06:17.52,-65:05:55.6
2194,8.50,06:13:45.91,+12:48:24.0
2196,11.19,06:12:09.65,-21:48:21.4
2197,13.45,06:06:07.31,-67:05:50.0
2203,11.29,06:04:42.55,-75:26:18.3
2204,8.60,06:15:32.22,-18:39:57.1
2206,12.23,06:15:59.84,-26:45:55.7
2207,11.06,06:16:22.03,-21:22:21.6
2208,12.61,06:22:34.68,+51:54:34.1
2209,13.15,06:08:35.91,-73:50:18.3
2210,10.94,06:11:31.36,-69:07:17.0
2213,12.38,06:10:41.94,-71:31:42.4
2214,10.93,06:12:56.93,-68:15:38.6
2215,8.45,06:20:49.25,-07:17:01.6
2217,10.57,06:21:39.78,-27:14:01.5
2223,11.87,06:24:35.91,-22:50:17.7
2227,12.15,06:25:57.98,-22:00:17.4
2231,13.20,06:20:42.97,-67:31:06.6
2232,3.90,06:28:01.13,-04:50:50.8
2236,8.50,06:29:39.70,+06:49:50.5
2239,4.80,06:31:55.56,+04:56:34.6
2241,13.25,06:22:51.36,-68:55:31.4
2242,15.00,06:34:07.24,+44:46:37.3
2243,9.40,06:29:34.48,-31:16:52.8
2249,12.23,06:25:49.57,-68:55:11.2
2250,8.90,06:33:49.88,-05:05:04.0
2251,7.30,06:34:38.48,+08:21:59.0
2252,7.70,06:34:42.97,+05:21:58.5
2254,9.10,06:35:49.66,+07:40:23.8
2257,12.62,06:30:13.86,-64:19:32.2
2258,11.87,06:47:45.80,+74:28:54.0
2259,10.80,06:38:21.44,+10:53:01.0
2261,11.85,06:39:09.51,+08:44:39.6
2264,3.90,06:40:58.25,+09:53:43.7
2266,9.50,06:43:19.21,+26:58:10.4
2268,11.56,07:14:17.44,+84:22:56.2
2269,10.00,06:43:17.08,+04:37:27.5
2272,11.94,06:42:41.30,-27:27:34.2
2273,12.42,06:50:08.66,+60:50:44.9
2273,12.82,06:46:31.58,+60:20:25.4
2276,11.50,07:27:14.36,+85:45:16.4
2280,11.12,06:44:49.11,-27:38:19.0
2281,5.40,06:48:17.84,+41:04:43.9
2286,7.50,06:47:40.17,-03:08:51.6
2287,4.50,06:45:59.94,-20:45:15.2
2288,14.36,06:50:51.96,+33:27:44.8
2289,13.18,06:50:53.61,+33:28:43.2
2290,13.03,06:50:56.92,+33:26:15.3
2291,13.21,06:50:58.64,+33:31:30.3
2293,11.04,06:47:42.91,-26:45:15.7
2294,13.84,06:51:11.30,+33:31:37.6
2297,12.71,06:44:24.59,-63:43:02.4
2298,8.89,06:48:59.20,-36:00:19.1
2299,8.90,06:51:53.68,-07:04:57.8
2300,11.16,07:32:19.97,+85:42:34.2
2301,6.00,06:51:45.30,+00:27:33.1
2304,10.00,06:55:11.61,+17:59:34.0
2305,11.70,06:48:37.37,-64:16:23.5
2307,12.08,06:48:50.79,-64:20:07.9
2309,10.50,06:56:03.61,-07:10:27.5
2310,11.81,06:53:53.96,-40:51:45.4
2311,9.60,06:57:47.55,-04:36:40.8
2314,12.13,07:10:32.55,+75:19:36.0
2319,11.85,07:00:32.21,+03:02:31.9
2320,11.94,07:05:42.03,+50:34:51.8
2323,5.90,07:02:40.47,-08:21:50.5
2324,8.40,07:04:07.96,+01:02:40.6
2325,11.18,07:02:40.40,-28:41:50.0
2328,12.55,07:02:36.20,-42:04:06.8
2329,12.51,07:09:08.01,+48:36:55.5
2330,13.05,07:09:28.40,+50:09:09.1
2331,8.50,07:06:59.83,+27:15:41.7
2335,7.20,07:06:49.45,-10:01:43.1
2336,10.68,07:27:04.05,+80:10:41.1
2337,12.53,07:10:13.58,+44:27:26.3
2339,11.76,07:08:20.54,+18:46:48.9
2340,11.73,07:11:10.83,+50:10:29.1
2341,13.21,07:09:12.04,+20:36:10.5
2342,12.64,07:09:18.08,+20:38:09.5
2343,6.70,07:08:06.80,-10:37:00.5
2344,12.08,07:12:28.66,+47:10:00.1
2345,7.70,07:08:18.79,-13:11:37.5
2346,11.60,07:09:23.01,-00:48:32.9
2347,12.55,07:16:03.69,+64:42:32.1
2353,7.10,07:14:30.31,-10:15:57.1
2354,6.50,07:14:05.27,-25:41:20.1
2355,9.70,07:16:59.26,+13:44:59.5
2360,7.20,07:17:43.12,-15:38:28.7
2362,4.10,07:18:41.47,-24:57:15.1
2365,12.19,07:22:22.55,+22:04:59.8
2366,11.17,07:28:54.66,+69:12:56.8
2367,7.90,07:20:04.54,-21:53:02.7
2368,11.80,07:21:06.30,-10:22:18.4
2369,12.26,07:16:37.73,-62:20:37.4
2369,14.35,07:20:29.63,-62:03:14.3
2371,11.20,07:25:34.66,+29:29:26.3
2374,8.00,07:23:56.07,-13:15:48.1
2377,14.56,07:24:56.82,-09:39:33.5
2379,13.62,07:27:26.26,+33:48:40.5
2380,11.12,07:23:54.75,-27:31:44.6
2381,12.65,07:19:57.31,-63:04:01.3
2383,8.40,07:24:39.90,-20:56:51.5
2384,7.40,07:25:09.83,-21:01:11.5
2387,16.50,07:28:57.93,+36:52:47.3
2389,12.92,07:29:04.65,+33:51:39.5
2392,9.61,07:29:10.76,+20:54:42.6
2395,8.00,07:27:12.85,+13:36:29.5
2396,7.40,07:28:02.92,-11:43:10.8
2397,11.97,07:21:19.98,-69:00:05.3
2401,12.60,07:29:24.40,-13:57:58.4
2403,8.43,07:36:51.40,+65:36:09.2
2409,7.30,07:31:36.72,-17:11:25.5
2410,16.26,07:35:02.26,+32:49:19.6
2414,7.90,07:33:12.80,-15:27:13.9
2415,12.39,07:36:56.69,+35:14:31.1
2417,12.28,07:30:12.09,-62:15:09.5
2419,10.05,07:38:07.95,+38:52:47.9
2420,8.30,07:38:23.90,+21:34:26.7
2421,8.30,07:36:11.81,-20:36:44.1
2422,4.40,07:36:35.02,-14:28:57.4
2423,6.70,07:37:06.73,-13:52:17.4
2424,12.63,07:40:39.29,+39:13:59.9
2427,11.48,07:36:28.18,-47:38:08.0
2432,10.20,07:40:53.87,-19:04:08.7
2434,11.34,07:34:51.16,-69:17:02.9
2437,6.10,07:41:46.82,-14:48:36.0
2438,10.80,07:41:50.39,-14:44:08.8
2439,6.90,07:40:45.41,-31:41:32.7
2440,9.40,07:41:55.36,-18:12:30.5
2441,12.19,07:51:54.74,+73:00:56.5
2442,10.63,07:36:23.84,-69:31:51.0
2444,13.22,07:46:53.04,+39:01:54.7
2445,13.24,07:46:55.10,+39:00:54.6
2447,6.20,07:44:29.23,-23:51:11.1
2451,9.50,07:45:15.01,-37:58:02.8
