id,mag,ra,dec
317,13.56,00:57:39.05,+43:48:02.8
317,13.94,00:57:40.45,+43:47:32.1
323,12.53,00:56:41.65,-52:58:33.3
324,12.81,00:57:14.78,-40:57:32.8
326,13.26,00:58:22.64,+26:51:58.5
327,13.42,00:57:55.36,-05:07:49.5
329,13.27,00:58:01.60,-05:04:16.4
330,9.55,00:56:17.65,-72:27:46.6
337,11.48,00:59:50.09,-07:34:40.7
337,12.37,01:01:33.90,-07:35:17.7
338,12.70,01:00:36.41,+30:40:08.3
339,12.21,00:57:42.06,-74:28:24.2
352,12.59,01:02:09.21,-04:14:43.7
357,12.02,01:03:21.88,-06:20:21.2
361,11.77,01:02:10.16,-71:36:17.1
362,6.58,01:03:14.23,-70:50:53.6
375,14.29,01:07:05.92,+32:20:53.4
376,10.90,01:03:53.45,-72:49:25.2
379,12.76,01:07:15.69,+32:31:13.3
380,12.48,01:07:17.59,+32:28:58.5
381,9.30,01:08:18.01,+61:34:59.8
383,12.14,01:07:24.96,+32:24:45.2
384,13.08,01:07:25.10,+32:17:32.8
385,12.94,01:07:27.25,+32:19:10.3
386,14.28,01:07:31.29,+32:21:43.2
388,14.36,01:07:47.15,+32:18:35.9
392,12.71,01:08:23.46,+33:08:01.0
393,12.54,01:08:36.95,+39:38:39.5
394,13.83,01:08:26.05,+33:08:52.7
397,14.58,01:08:31.10,+33:06:33.1
404,10.55,01:09:27.02,+35:43:05.3
405,6.89,01:08:34.11,-46:40:06.6
406,12.46,01:07:25.05,-69:52:45.0
410,11.48,01:10:58.90,+33:09:06.8
411,12.10,01:07:55.67,-71:46:06.1
416,11.76,01:07:58.50,-72:21:18.2
418,12.58,01:10:35.62,-30:13:16.6
419,10.50,01:08:17.17,-72:53:00.6
422,13.26,01:09:25.39,-71:46:02.0
424,14.12,01:11:27.63,-38:05:00.5
426,12.89,01:12:48.61,-00:17:24.7
427,15.10,01:12:19.24,-32:03:40.2
428,11.47,01:12:55.71,+00:58:53.6
430,12.53,01:12:59.93,-00:15:09.0
434,12.04,01:12:14.13,-58:14:52.7
436,8.80,01:15:57.78,+58:49:01.6
440,13.18,01:12:48.50,-58:16:56.2
444,14.24,01:15:49.60,+31:04:48.9
446,13.50,01:16:03.61,+04:17:38.8
447,13.94,01:15:37.63,+33:04:03.8
449,14.57,01:16:07.25,+33:05:22.4
452,12.59,01:16:14.83,+31:02:01.8
454,13.58,01:14:21.81,-55:24:05.1
454,13.58,01:14:24.93,-55:23:49.5
457,6.40,01:19:32.65,+58:17:26.5
458,11.66,01:14:53.47,-71:33:09.7
467,12.10,01:19:10.13,+03:18:03.0
470,11.79,01:19:44.85,+03:24:35.8
471,13.32,01:19:59.59,+14:47:10.4
473,12.50,01:19:55.07,+16:32:40.9
474,11.52,01:20:06.69,+03:24:55.4
484,12.23,01:19:34.73,-58:31:27.5
485,13.25,01:21:27.60,+07:01:05.1
488,10.26,01:21:46.85,+05:15:24.2
490,14.48,01:22:02.87,+05:22:01.9
491,12.55,01:21:20.43,-34:03:47.8
491,13.80,01:20:04.67,-33:53:58.2
493,12.48,01:22:08.99,+00:56:43.3
494,12.85,01:22:55.40,+33:10:26.0
496,13.70,01:23:11.60,+33:31:45.0
497,13.02,01:22:23.78,-00:52:30.7
499,12.27,01:23:11.50,+33:27:38.0
501,14.45,01:23:22.41,+33:25:58.7
502,12.79,01:22:55.54,+09:02:57.1
507,11.57,01:23:39.91,+33:15:21.8
513,13.40,01:24:26.85,+33:47:58.0
514,11.71,01:24:03.90,+12:55:02.6
520,11.47,01:24:34.48,+03:47:41.8
521,11.80,01:24:33.78,+01:43:53.0
522,12.95,01:24:45.85,+09:59:40.7
523,12.71,01:25:20.73,+34:01:29.8
524,10.35,01:24:47.72,+09:32:19.8
526,14.60,01:23:54.39,-35:03:55.9
526,14.50,01:23:57.08,-35:04:09.4
529,12.13,01:25:40.40,+34:42:48.0
532,12.21,01:25:17.34,+09:15:50.8
533,11.47,01:25:31.36,+01:45:32.8
536,12.37,01:26:21.78,+34:42:10.9
539,13.62,01:25:21.73,-18:09:49.9
541,12.19,01:25:44.31,-01:22:46.5
543,13.17,01:25:49.99,-01:17:34.1
545,13.34,01:25:59.12,-01:20:24.8
547,13.34,01:26:00.63,-01:20:42.6
548,13.71,01:26:02.51,-01:13:32.2
559,9.50,01:29:33.17,+63:18:05.2
560,12.90,01:27:25.42,-01:54:46.7
564,12.51,01:27:48.21,-01:52:46.3
568,12.62,01:27:57.01,-35:43:03.7
570,12.79,01:28:58.64,-00:56:56.4
575,13.02,01:30:46.64,+21:26:25.5
578,11.09,01:30:29.09,-22:40:02.5
579,13.33,01:31:46.49,+33:36:56.0
581,7.40,01:33:21.81,+60:39:28.8
582,13.16,01:31:58.05,+33:28:35.5
584,10.35,01:31:20.75,-06:52:05.0
586,13.14,01:31:36.85,-06:53:37.5
588,14.44,01:32:45.94,+30:38:51.1
591,13.90,01:33:31.27,+35:40:05.7
596,10.95,01:32:52.08,-07:01:54.6
598,5.79,01:33:50.89,+30:39:36.8
600,12.46,01:33:05.30,-07:18:41.1
602,13.02,01:29:26.36,-73:33:37.8
609,11.00,01:36:23.74,+64:32:11.7
612,13.01,01:33:57.74,-36:29:35.7
613,10.35,01:34:18.17,-29:25:06.1
615,11.66,01:35:05.68,-07:20:25.1
617,14.70,01:34:02.54,-09:46:26.9
622,13.28,01:36:00.16,+00:39:48.7
623,12.52,01:35:06.39,-36:29:24.8
625,13.66,01:35:04.63,-41:26:10.3
628,9.31,01:36:41.75,+15:47:01.2
636,11.41,01:39:06.53,-07:30:45.4
637,8.20,01:43:03.11,+64:02:11.6
638,13.79,01:39:37.85,+07:14:14.4
639,14.13,01:38:59.05,-29:55:31.2
640,15.50,01:39:24.88,-09:24:04.2
641,12.17,01:38:39.23,-42:31:39.1
650,10.10,01:42:19.69,+51:34:31.7
654,6.50,01:43:59.43,+61:52:57.8
658,12.41,01:42:09.66,+12:36:06.8
659,7.90,01:44:22.99,+60:40:09.0
660,11.29,01:43:02.40,+13:38:42.2
661,12.20,01:44:14.62,+28:42:21.3
662,13.84,01:44:35.45,+37:41:44.8
663,7.10,01:46:16.05,+61:13:05.5
665,12.14,01:44:56.10,+10:25:22.9
666,13.37,01:46:06.20,+34:22:28.3
668,13.05,01:46:22.67,+36:27:37.1
669,12.30,01:47:16.15,+35:33:47.9
670,12.62,01:47:24.85,+27:53:08.7
671,16.71,01:46:59.17,+13:07:30.4
672,10.92,01:47:54.52,+27:25:58.0
673,12.62,01:48:22.44,+11:31:16.7
674,11.97,01:51:17.57,+22:21:28.7
676,12.00,01:48:57.31,+05:54:27.1
677,12.27,01:49:14.06,+13:03:19.3
678,12.23,01:49:24.86,+21:59:50.3
679,12.54,01:49:43.78,+35:47:08.3
680,11.90,01:49:47.29,+21:58:15.1
681,11.87,01:49:10.83,-10:25:35.1
684,12.34,01:50:14.02,+27:38:44.4
685,11.50,01:47:42.81,-52:45:42.5
687,12.53,01:50:33.24,+36:22:14.9
688,12.67,01:50:44.18,+35:17:04.3
690,14.27,01:47:48.08,-16:43:19.2
691,11.73,01:50:41.72,+21:45:35.7
693,12.45,01:50:30.85,+06:08:42.8
694,13.77,01:50:58.49,+21:59:51.0
701,12.14,01:51:03.84,-09:42:09.4
702,13.19,01:51:19.19,-04:03:21.4
703,13.33,01:52:39.60,+36:10:17.1
706,12.52,01:51:50.53,+06:17:48.8
708,13.29,01:52:46.48,+36:09:06.6
709,14.26,01:52:50.62,+36:13:24.4
710,13.67,01:52:53.94,+36:03:10.4
714,13.05,01:53:29.65,+36:13:16.7
717,13.89,01:53:55.11,+36:13:45.9
718,11.66,01:53:13.30,+04:11:45.0
720,10.14,01:53:00.50,-13:44:19.2
721,13.46,01:54:45.46,+39:23:00.7
731,12.14,01:54:56.21,-09:00:38.9
735,13.25,01:56:37.98,+34:10:36.4
736,12.14,01:56:40.87,+33:02:36.6
741,11.26,01:56:21.03,+05:37:44.2
744,7.90,01:58:29.92,+55:28:28.6
745,14.50,01:54:07.72,-56:41:37.2
748,12.64,01:56:21.80,-04:28:03.5
752,5.70,01:57:34.82,+37:50:00.2
753,12.41,01:57:42.20,+35:54:58.0
755,12.59,01:56:22.68,-09:03:41.1
759,12.73,01:57:50.33,+36:20:35.2
765,12.47,01:58:48.00,+24:53:32.9
770,13.49,01:59:13.64,+18:57:16.8
771,3.95,02:03:26.59,+72:25:15.2
772,10.30,01:59:19.58,+19:00:27.1
